AigleDOrFr;Games:Games/_PointAndClick/AigleDOrFr;AigleDOrFr.Slave              
BeneathAStlSkyFr;Games:Games/_PointAndClick/BeneathAStlSkyFr;BeneathAStlSkyFr.slave        
CroisierePourUnCadavreFr;Games:Games/_PointAndClick/CroisierePourUnCadavreFr;CroisierePourUnCadavreFr.slave
FreedomFr;Games:Games/_PointAndClick/FreedomFr;FreedomFr.Slave               
IndianaJonesAtlantisAdvFr;Games:Games/_PointAndClick/IndianaJonesAtlantisAdvFr;IndianaJonesAtlantisAdvFr.slav
IndianaJonesLastCrusAdvFr;Games:Games/_PointAndClick/IndianaJonesLastCrusAdvFr;IndyLastCrusAdvFr.slave       
IndianaJonesTempleOfDoom;Games:Games/_PointAndClick/IndianaJonesTempleOfDoom;IndianaJonesTempleOfDoom.slave
ManiacMansionFr;Games:Games/_PointAndClick/ManiacMansionFr;ManiacMansionFr.slave         
MaupitiIslandFr;Games:Games/_PointAndClick/MaupitiIslandFr;MaupitiIslandFr.Slave         
Mickey123Fr;Games:Games/_PointAndClick/MaupitiIslandFr/Mickey123Fr;Mickey123Fr.Slave             
MonkeyIsland2Fr;Games:Games/_PointAndClick/MonkeyIsland2Fr;MonkeyIsland2Fr.slave         
QueteLOiseauDuTempFrFiles;Games:Games/_PointAndClick/QueteLOiseauDuTempFrFiles;QueteLOiseauDuTempFrFiles.Slav
SecretOfMonkeyIslandFr;Games:Games/_PointAndClick/SecretOfMonkeyIslandFr;SecretOfMonkeyIslandFr.slave  
VoyageursDuTempsFr;Games:Games/_PointAndClick/VoyageursDuTempsFr;VoyageursDuTempsFr.slave      
ZakMcKrackenFr;Games:Games/_PointAndClick/ZakMcKrackenFr;ZakMcKrackenFr.slave          
LoomFr;Games:Games/_PointAndClick/LoomFr;LoomFr.slave                  
LureOfTheTemptressFr;Games:Games/_PointAndClick/LureOfTheTemptressFr;LureOfTheTemptressFr.slave    
ADIJuniorFR-code;Games:Games/_Educatif/ADIJuniorFR-code;Workbench31_1.Slave           
